tmc,road,direction,intersection,state,county,zip,start_latitude,start_longitude,end_latitude,end_longitude,miles,road_order,timezone_name,type,country,active_start_date,active_end_date
101P53201,MULLINAX RD,NORTHBOUND,UNION HILL RD,GA,FORSYTH,30004,34.13266,-84.22641,34.1329,-84.2264,0.016552,1.0,America/New_York,P1.11,USA,2024-08-01 14:00:00-04:00,null
101+53319,SARGENT RD,EASTBOUND,MCGINNIS FERRY RD,GA,FULTON,30005,34.06885,-84.20644,34.07011,-84.17877,1.619005,2.0,America/New_York,P1.11,USA,2024-08-01 14:00:00-04:00,null
101N20110,WATERS RD,SOUTHBOUND,KIMBALL BRIDGE RD,GA,FULTON,30022,34.04606,-84.25845,34.04562,-84.25873,0.034319,1.0,America/New_York,P1.11,USA,2024-08-01 14:00:00-04:00,null
101+53316,CLUB HOUSE DR,EASTBOUND,DOUGLAS RD,GA,FULTON,30005,34.08919,-84.22648,34.08786,-84.20648,1.556711,2.0,America/New_York,P1.11,USA,2024-08-01 14:00:00-04:00,null
101N14350,HAYNES BRIDGE RD,SOUTHBOUND,NORTH POINT PKY,GA,FULTON,30076,34.04864,-84.28663,34.04848,-84.28661,0.011087,9.0,America/New_York,P1.11,USA,2024-08-01 14:00:00-04:00,null
101P53309,BROADWELL RD,NORTHBOUND,GA-372/CRABAPPLE RD/MAYFIELD RD,GA,FULTON,30004,34.08983,-84.33946,34.09008,-84.33949,0.017317,3.0,America/New_York,P1.11,USA,2024-08-01 14:00:00-04:00,null
101N53131,COGBURN RD,SOUTHBOUND,HOPEWELL RD/FRANCIS RD,GA,FULTON,30004,34.13787,-84.28453,34.13761,-84.28442,0.028474,1.0,America/New_York,P1.8,USA,2024-08-01 14:00:00-04:00,null
101N53252,CUMMING ST/UNION HILL RD,WESTBOUND,WESTSIDE PKWY,GA,FULTON,30004,34.08417,-84.27314,34.08418,-84.27316,0.001338,1.0,America/New_York,P1.11,USA,2024-08-01 14:00:00-04:00,null
101N53251,CUMMING ST,WESTBOUND,GA-9/N MAIN ST,GA,FULTON,30009,34.07856,-84.29348,34.07853,-84.29447,0.056829,3.0,America/New_York,P1.11,USA,2024-08-01 14:00:00-04:00,null
101+20195,WILLS RD,NORTHBOUND,HEMBREE RD,GA,FULTON,30076,34.05874,-84.31157,34.06089,-84.31202,0.157224,2.0,America/New_York,P1.11,USA,2024-08-01 14:00:00-04:00,null
101N20109,WATERS RD,SOUTHBOUND,JONES BRIDGE RD,GA,FULTON,30022,34.03092,-84.24956,34.03,-84.24909,0.068962,3.0,America/New_York,P1.11,USA,2024-08-01 14:00:00-04:00,null
101N14354,HAYNES BRIDGE RD,SOUTHBOUND,ACADEMY ST,GA,FULTON,30076,34.07563,-84.29101,34.07532,-84.29109,0.022302,1.0,America/New_York,P1.11,USA,2024-08-01 14:00:00-04:00,null
101N14353,HAYNES BRIDGE RD,SOUTHBOUND,GA-120/MADDOX ST/OLD MILTON PKY,GA,FULTON,30076,34.07099,-84.29373,34.07083,-84.29373,0.011028,3.0,America/New_York,P1.11,USA,2024-08-01 14:00:00-04:00,null
101N14352,HAYNES BRIDGE RD,SOUTHBOUND,MORRISON PKY/WESTSIDE PKY,GA,FULTON,30076,34.0604,-84.28923,34.06022,-84.28906,0.015788,5.0,America/New_York,P1.11,USA,2024-08-01 14:00:00-04:00,null
101N14351,HAYNES BRIDGE RD,SOUTHBOUND,US-19/GA-400/TURNER MCDONALD PKY,GA,FULTON,30076,34.05648,-84.28649,34.05369,-84.28553,0.200122,7.0,America/New_York,P1.11,USA,2024-08-01 14:00:00-04:00,null
101-53153,BETHANY RD,SOUTHBOUND,MAYFIELD RD,GA,FULTON,30009,34.11483,-84.31446,34.09615,-84.32636,1.504009,4.0,America/New_York,P1.11,USA,2024-08-01 14:00:00-04:00,null
101-53152,BETHANY RD,SOUTHBOUND,MID BROADWELL RD,GA,FULTON,30009,34.09588,-84.32635,34.0873,-84.32639,0.593544,5.0,America/New_York,P1.11,USA,2024-08-01 14:00:00-04:00,null
101P53311,DOUGLAS RD,NORTHBOUND,JONES BRIDGE RD,GA,FULTON,30005,34.07005,-84.20529,34.07088,-84.20536,0.057348,1.0,America/New_York,P1.11,USA,2024-08-01 14:00:00-04:00,null
101N07820,GA-120,WESTBOUND,JONES BRIDGE RD,GA,FULTON,30097,34.06433,-84.21132,34.06484,-84.21273,0.088656,16.0,America/New_York,P1.11,USA,2024-08-01 14:00:00-04:00,null
101N53242,HAGOOD RD/HAYGOOD RD,SOUTHBOUND,REDD RD,GA,FULTON,30004,34.12446,-84.30384,34.12358,-84.30384,0.060654,1.0,America/New_York,P1.11,USA,2024-08-01 14:00:00-04:00,null
101N53241,HAGOOD RD/HAYGOOD RD,SOUTHBOUND,BETHANY WAY/BETHANY RD,GA,FULTON,30004,34.11801,-84.30685,34.11785,-84.307,0.013984,3.0,America/New_York,P1.11,USA,2024-08-01 14:00:00-04:00,null
101P20092,HEMBREE RD,EASTBOUND,WESTSIDE PKWY,GA,FULTON,30076,34.05893,-84.29962,34.05866,-84.29935,0.024212,9.0,America/New_York,P1.11,USA,2024-08-01 14:00:00-04:00,null
101P20091,HEMBREE RD,EASTBOUND,OLD ROSWELL RD,GA,FULTON,30076,34.06087,-84.30931,34.06087,-84.30878,0.030403,7.0,America/New_York,P1.11,USA,2024-08-01 14:00:00-04:00,null
101-53064,MILTON AVE,WESTBOUND,WILLS RD,GA,FULTON,30009,34.07564,-84.29486,34.07684,-84.30839,0.789261,2.0,America/New_York,P1.11,USA,2024-08-01 14:00:00-04:00,null
101-53185,UNION HILL RD,SOUTHBOUND,MCFARLAND PKWY,GA,FORSYTH,30004,34.13193,-84.22689,34.13059,-84.23024,0.221308,4.0,America/New_York,P1.11,USA,2024-08-01 14:00:00-04:00,null
101-53184,UNION HILL RD,SOUTHBOUND,MCGINNIS FERRY RD/RONALD REAGAN BLVD,GA,FORSYTH,30004,34.1302,-84.23068,34.10173,-84.23572,2.123795,6.0,America/New_York,P1.11,USA,2024-08-01 14:00:00-04:00,null
101-53061,WEBB BRIDGE RD,EASTBOUND,NORTH POINT PKWY,GA,FULTON,30005,34.06118,-84.22545,34.07636,-84.2602,2.70238,4.0,America/New_York,P1.11,USA,2024-08-01 14:00:00-04:00,null
101-53060,WEBB BRIDGE RD,EASTBOUND,HOSPITALITY HWY,GA,FULTON,30022,34.07629,-84.26035,34.07476,-84.2686,0.50072,2.0,America/New_York,P1.11,USA,2024-08-01 14:00:00-04:00,null
